"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1759071_s_at","pdeF","946968","cyclic di-GMP phosphodiesterase PdeF",-0.204554906510547,10.3110500513007,-1.05776933356253,0.324316432185744,0.811183715370153,-6.44751107492481
"2","1759074_at","yfbN","946748","uncharacterized protein YfbN",-0.0399345840086074,9.98603920336441,-0.156332023103483,0.880060057738353,0.9780549108593,-7.02107981427704
"3","1759089_s_at","frc","946842","formyl-CoA transferase",-0.111126442014596,10.1074891278871,-0.855247143014702,0.41993094910171,0.852269932224517,-6.64136963025732
"4","1759091_at","speF","945297","ornithine decarboxylase, degradative",-0.150765112291129,10.390791897579,-0.869545262288947,0.412565802749151,0.846861854715578,-6.62874830540301
"5","1759095_s_at","nanS","948835","N-acetyl-9-O-acetylneuraminate esterase",0.0493998588901032,10.4098875200461,0.338864345609684,0.744370087495166,0.943251901182269,-6.97049805080587
"6","1759100_s_at","yahB","945278","putative LysR-type DNA-binding transcriptional regulator YahB",-0.0973832064037428,9.5616571146324,-0.256144621813204,0.804996103252415,0.956999257120311,-6.99796239601473
"7","1759102_s_at","rnc","947033","RNase III",-0.0931002635657698,11.1686745446682,-0.773669469498545,0.463740215383655,0.874092852390034,-6.71006525827406
"8","1759109_s_at","yeiP","946674","elongation factor P family protein",-0.225247791110066,10.8292712028778,-1.85868171330523,0.104196943466575,0.625112814169749,-5.44282654585942
"9","1759113_s_at","ftsK","945102","cell division DNA translocase FtsK",-0.0479238931052173,11.2844501916197,-0.351085410065601,0.735562763377578,0.943251901182269,-6.96581168231088
"10","1759127_s_at","yghA","947478","NADP(+)-dependent aldehyde reductase",-0.158241859682489,10.5470565379934,-1.43293026076489,0.193788697428441,0.719889972761536,-6.01506739781787
"11","1759133_s_at","ycjW","945875","putative LacI-type DNA-binding transcriptional regulator YcjW",-0.20935878488925,10.02786069383,-1.1425232482446,0.289763099623809,0.795154540956946,-6.35742056925175
"12","1759134_s_at","mdtJ","946139","multidrug/spermidine efflux pump membrane subunit MdtJ",-0.060536514043525,10.02008479206,-0.327798521840948,0.75238025047716,0.946440953559399,-6.97460266489485
"13","1759135_s_at","higB","947591","ribosome-dependent mRNA interferase toxin HigB",0.0965223504739505,10.0782034979616,0.617085244197355,0.556161891313908,0.899897484781716,-6.82523468627686
"14","1759136_s_at","kdgR","946129","DNA-binding transcriptional repressor KdgR",0.0348492799664371,10.8632428541595,0.19603948325297,0.84999192212444,0.967539014385176,-7.0132085021994
"15","1759153_s_at","cbeA","946510","CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA",-0.482809624876095,9.81992306588747,-1.99447044522566,0.0851395908971352,0.625112814169749,-5.24848477312269
"16","1759161_s_at","hycB","948002","formate hydrogenlyase subunit HycB",-0.181197035051499,8.95402573708737,-0.605011880821991,0.563725627447732,0.90283499713722,-6.83315798788973
"17","1759164_s_at","grpE","947097","nucleotide exchange factor GrpE",-0.168374884009003,11.9117194799516,-1.26391092958123,0.245600459359513,0.765887348938241,-6.22022775912587
"18","1759171_s_at","plsY","947561","putative glycerol-3-phosphate acyltransferase",-0.234728838956816,10.1668202196061,-0.897273745874464,0.398549779233604,0.846372341446134,-6.60379173466783
"19","1759173_s_at","yfeK","946876","protein YfeK",-0.0163142475140319,9.56863667897376,-0.036470181334987,0.97189698908099,0.994521634195802,-7.03411418862253
"20","1759174_s_at","ypdE","946848","broad-specificity exoaminopeptidase",0.0937474850676931,9.84670271281144,0.518936709709276,0.61935302563999,0.920534806830094,-6.88549793415403
"21","1759176_s_at","tdcE","947623","2-ketobutyrate formate-lyase/pyruvate formate-lyase 4",-0.340258197639473,12.9039299651783,-1.39149906035517,0.205508411731046,0.731654847737534,-6.06674789631162
"22","1759178_s_at","fruB","946677","fructose-specific PTS multiphosphoryl transfer protein FruB",-0.470697849930042,10.5478094944179,-2.57732581933853,0.0357132789663421,0.550624136898975,-4.3830318093535
"23","1759179_s_at","osmB","945866","osmotically-inducible lipoprotein OsmB",-0.312936669854743,11.1745391575014,-1.3198407487609,0.227259804544283,0.750726217590859,-6.15404693277838
"24","1759182_s_at","yhcN","947835","DUF1471 domain-containing stress-induced protein YhcN",0.0464756627686018,10.9150241983561,0.338446582366265,0.744671887266504,0.943251901182269,-6.97065540870283
"25","1759189_s_at","ygcW","947232","putative deoxygluconate dehydrogenase",-0.169492782410254,10.4795494129075,-1.11292423019435,0.301474145033575,0.796128628775418,-6.38944114854384
"26","1759193_s_at","kefG","947857","protein required for KefB activity",-0.0123011231519659,10.3204335751585,-0.0636171735418684,0.9510034514527,0.991405895705372,-7.03257951455917
"27","1759198_s_at","nanT","947740","N-acetylneuraminate:H(+) symporter",0.262895339028038,10.7276160488557,1.30086923799986,0.233343983495149,0.75646363704717,-6.17669422639904
"28","1759201_s_at","ttdT","947576","L-tartrate:succinate antiporter",-0.159771475155152,10.1175304939222,-0.904164369521159,0.395121468311358,0.846372341446134,-6.59749285391
"29","1759202_s_at","mntP","946341","Mn(2(+)) exporter",-0.157142759142578,10.0944939919878,-1.07941823066926,0.315190920602645,0.807899509774625,-6.42497056917687
"30","1759211_s_at","ecpR","944966","DNA-binding transcriptional dual regulator MatA",0.121764923244465,10.1895739489449,0.839027612578096,0.428399265879057,0.854317454928699,-6.65548036225299
"31","1759218_s_at","fruK","946676","1-phosphofructokinase",-0.259869841582612,10.9024736531671,-1.73421596492138,0.125234201783241,0.645221598214903,-5.61673315879438
"32","1759219_s_at","frdC","948680","fumarate reductase membrane protein FrdC",0.901710639858399,11.6160412734941,1.76099877964194,0.120390755084402,0.637762307703524,-5.57970041026662
"33","1759224_s_at","wcaE","946543","putative colanic acid biosynthesis glycosyl transferase",-0.142231432650854,9.78260455666863,-0.938537925523227,0.378344559606135,0.835106688190464,-6.5655036389069
"34","1759226_s_at","lptB","947725","lipopolysaccharide transport system ATP binding protein",-0.0228195097905086,11.1049583524378,-0.170953488819444,0.868960599198811,0.973592079578619,-7.01838598449911
"35","1759227_s_at","yiiE","948386","putative DNA-binding transcriptional regulator YiiE",0.108186317578943,10.265273520123,0.941994746361457,0.376687302383467,0.834122150829843,-6.56223486180886
"36","1759230_s_at","yiaK","948096","2,3-diketo-L-gulonate reductase",0.159948003762583,10.8694302732517,1.19140418598559,0.271242748945309,0.781624352952604,-6.30328252275265
"37","1759231_s_at","sdhE","947382","FAD assembly factor",0.358055029712924,11.6299355213038,2.5140249115972,0.0392238009088469,0.570678680828716,-4.47827061493973
"38","1759233_at","yafL","944899","NlpC/P60 family protein YafL",-0.172070342250336,10.3659045302319,-0.880269523145433,0.407103136802298,0.846372341446134,-6.61917075837673
"39","1759239_s_at","cusC","946288","copper/silver export system outer membrane channel",-0.179561773664259,9.79846719511496,-1.1007664515728,0.3063945284029,0.796128628775418,-6.40242235828125
"40","1759241_at","ybgO","947550","putative fimbrial protein YbgO",-0.0395430153727663,9.87770938828549,-0.207329366446782,0.841488737973643,0.96530579270047,-7.01064988239505
"41","1759255_at","yhcE","4056032","pseudo",-0.0285198377149456,10.39109390183,-0.133250816372476,0.897639131631075,0.978946995663431,-7.02484538498987
"42","1759259_at","sgcE","948829","KpLE2 phage-like element; putative epimerase SgcE",0.154101592768694,10.5784516925176,0.992968233829841,0.352882399062026,0.823040437229132,-6.51296131603379
"43","1759260_s_at","ydeE","946083","dipeptide exporter",-0.672322228615087,7.95363268605803,-1.77728525100852,0.117533117586403,0.630710184242881,-5.55707217201503
"44","1759264_s_at","preA","949037","NAD-dependent dihydropyrimidine dehydrogenase subunit PreA",1.91277492201079,11.3971869464546,12.3430436743952,4.1500049298248e-06,0.00107173877312726,5.064769562813
"45","1759269_at","ykfF","948839","CP4-6 prophage; protein YkfF",0.0397879604404459,10.5303991816517,0.173011863421782,0.867400507974062,0.973592079578619,-7.01798757888383
"46","1759276_s_at","ygeN","2847705","pseudo",0.124626318226651,8.86891725544482,0.291136754294026,0.779146581188707,0.948985609016375,-6.98725413931991
"47","1759296_s_at","ybdO","945216","putative LysR family DNA-binding transcriptional regulator YbdO",0.0463363540251667,9.99635804613632,0.102580774737192,0.921091415402992,0.980209394594467,-7.02892423039266
"48","1759298_s_at","ydhV","948756","putative oxidoreductase",0.246866861976148,10.3088317814066,0.877015619114258,0.408755016989876,0.846372341446134,-6.622086731185
"49","1759305_s_at","yfiL","947106","DUF2799 domain-containing lipoprotein YfiL",-0.138751047358726,10.3026634843416,-0.900012503598351,0.397184549730914,0.846372341446134,-6.60129276551321
"50","1759309_s_at","dps","945101","stationary phase nucleoid protein that sequesters iron and protects DNA from damage",0.22883449173886,13.0486688771369,1.08244265929608,0.313932545629205,0.805695204062035,-6.42179536196561
"51","1759313_s_at","menC","946734","o-succinylbenzoate synthase",0.086072166189247,10.9571952166708,0.814974981142545,0.441178877249364,0.858263239545373,-6.67599618157688
"52","1759314_s_at","nrdF","947149","ribonucleoside-diphosphate reductase 2 subunit beta",-0.221606221169942,9.7372819375208,-1.054877176531,0.325551282815231,0.811325633650503,-6.45049720741753
"53","1759321_s_at","yojI","946705","ABC transporter family protein/microcin J25 efflux protein",-0.175926756370071,10.2165616600905,-1.01826503078345,0.341506374938038,0.820330286617327,-6.48777766263802
"54","1759333_s_at","purA","948695","adenylosuccinate synthetase",-0.171504390514553,12.1128247719686,-0.954542110437864,0.370717768383353,0.827108973520527,-6.55029161362639
"55","1759335_s_at","yfdV","949110","putative transport protein YfdV",-0.10144994821192,10.5713870286194,-0.692046680805298,0.510579261584164,0.886496132808254,-6.7729286048894
"56","1759337_s_at","trpD","945109","anthranilate synthase subunit TrpD",-0.281427967679015,10.3160183373053,-1.04185539125831,0.331157290171099,0.814387897097251,-6.46386791807005
"57","1759338_s_at","pbpC","947152","peptidoglycan glycosyltransferase PbpC",-0.187295338160276,9.71343307808983,-0.810322499675398,0.443681317178335,0.859892684137373,-6.6799074908223
"58","1759339_at","oxyS","2847701","ncRNA",0.00693320102155859,11.1828352743505,0.0341749526500893,0.973664824804718,0.995837390122053,-7.03420579185683
"59","1759346_s_at","yedX","946485","hydroxyisourate hydrolase/transthyretin-related protein",-0.478898601017244,11.3204294712294,-3.62788234487292,0.00800859125093243,0.328248085115314,-2.82798708523822
"60","1759352_s_at","rplP","947806","50S ribosomal subunit protein L16",0.0243445554197468,12.5997593444564,0.196188841441897,0.849879288369516,0.967539014385176,-7.01317557781638
"61","1759356_at","afuC","947676","CP4-6 prophage; ABC transporter ATP-binding protein AfuC",0.00967076178914006,9.93548531433801,0.0507770164394759,0.960881763221135,0.991881654268847,-7.03340908190904
"62","1759364_s_at","ygeF","946823","pseudo",0.00620211438999085,10.6052509007602,0.0258073896193355,0.980110964215069,0.998128647371929,-7.03448935198184
"63","1759367_at","ybgP","945110","putative fimbrial chaperone YbgP",0.0376731588902288,9.9831204302854,0.274187277076071,0.791632709316391,0.951986715627278,-6.99260845384378
"64","1759379_s_at","dsbA","948353","thiol:disulfide oxidoreductase DsbA",0.0182782263133578,10.9543313755838,0.125938856932959,0.903221380202997,0.978946995663431,-7.02591372784705
